student_id,course_id,progress
S008,C002,13.36
S017,C004,64.28
S009,C005,20.01
S018,C002,72.63
S002,C001,64.31
S001,C002,41.1
S019,C002,65.44
S020,C001,14.63
S010,C003,69.34
S014,C001,48.04
S003,C004,18.37
S018,C001,68.86
S011,C004,35.23
S003,C005,6.05
S004,C001,90.76
S017,C005,4.22
S001,C003,59.31
S011,C002,2.02
S001,C003,95.6
S012,C001,16.22
S018,C002,70.34
S001,C001,45.5
S011,C001,84.45
S002,C002,32.25
S004,C002,63.84
S009,C001,73.24
S015,C002,15.44
S001,C003,24.74
S007,C003,14.68
S001,C003,82.37
S007,C003,40.81
S003,C005,29.59
S002,C003,55.93
S019,C001,85.05
S005,C005,17.84
S016,C005,30.5
S005,C001,87.61
S008,C002,70.36
S004,C003,15.64
S001,C005,84.83
S017,C004,56.8
S019,C002,72.05
S005,C003,86.73
S007,C001,3.06
S012,C002,15.66
S013,C002,5.59
S010,C003,84.22
S009,C004,64.59
S018,C003,26.7
S005,C004,77.6
